,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,ClosestHospital,ClosestGrocery,ClosestParks,ClosestWhole
1974,PAST SALE,February-22-2022,Single Family Residential,6207 Eastern Pkwy,Baltimore,MD,21206,236000,3.0,2.0,Ward 27,2210.0,5571.0,1955.0,,107.0,,Sold,,,https://www.redfin.com/MD/Baltimore/6207-Eastern-Pkwy-21214/home/11131086,BRIGHT MLS,MDBA2019890,N,Y,39.3563957,-76.5467685,3.4741278682316823,2.817239616998675,5.437170320290052,5.585954854336914
1975,PAST SALE,,Townhouse,1510 Patapsco St,Baltimore,MD,21230,299900,,1.0,,1300.0,1344.0,1920.0,,231.0,,,,,https://www.redfin.com/MD/Baltimore/1510-Patapsco-St-21230/home/11014559,,,N,Y,39.2721373,-76.6133475,2.0244090739569756,1.7090446541165287,0.5759569013571385,1.7090446541165287
1976,PAST SALE,,Townhouse,5111 Harford Rd,Baltimore,MD,21214,195000,,2.0,,1882.0,1972.0,1931.0,,104.0,,,,,https://www.redfin.com/MD/Baltimore/5111-Harford-Rd-21214/home/11126584,,,N,Y,39.3482416,-76.5645481,2.223295725013538,1.1176746204510086,3.753769651520191,3.8459360861925407
1977,PAST SALE,,Townhouse,19 N Patterson Park Ave,Baltimore,MD,21224,226600,,1.5,,1794.0,1197.0,1920.0,,126.0,,,,,https://www.redfin.com/MD/Baltimore/19-N-Patterson-Park-Ave-21224/home/10758806,,,N,Y,39.2923988,-76.5845035,0.6027060693147679,1.6445087286069806,0.3702607394792387,1.6253988612436427
1978,PAST SALE,May-6-2022,Townhouse,6821 Eastbrook Ave,Baltimore,MD,21224,175000,3.0,1.5,Ward 26,1024.0,,1951.0,,171.0,,Sold,,,https://www.redfin.com/MD/Baltimore/6821-Eastbrook-Ave-21224/home/11084294,BRIGHT MLS,MDBA2038274,N,Y,39.2911471,-76.5308418,1.404495798551029,3.8128229853955897,3.9256582086534566,5.920845518317453
1979,PAST SALE,September-27-2021,Townhouse,7233 Lanark Rd,Baltimore,MD,21212,339900,3.0,2.0,RODGERS FORGE,1451.0,2090.0,1953.0,,234.0,,Sold,,,https://www.redfin.com/MD/Baltimore/7233-Lanark-Rd-21212/home/9660797,BRIGHT MLS,MDBC2005802,N,Y,39.38276362,-76.61626446,1.2178542893052982,1.1402107779584163,3.343471177649897,2.1342305008848372
1980,PAST SALE,March-9-2022,Townhouse,340 S Bouldin St,Baltimore,MD,21224,260000,3.0,2.5,Ward 26,1364.0,840.0,1920.0,,191.0,,Sold,,,https://www.redfin.com/MD/Baltimore/340-S-Bouldin-St-21224/home/11075514,BRIGHT MLS,MDBA2015434,N,Y,39.2876673,-76.5709594,1.8819197536155037,2.4566126418733187,0.9362253475026828,2.4566126418733187
1981,PAST SALE,June-29-2021,Single Family Residential,4413 Hooper Ave,Baltimore,MD,21229,300000,3.0,1.5,RIDGEWOOD,1224.0,6250.0,1930.0,,245.0,,Sold,,,https://www.redfin.com/MD/Baltimore/4413-Hooper-Ave-21229/home/9368720,BRIGHT MLS,MDBC529226,N,Y,39.2636879,-76.6915336,1.7456165786637583,5.3650647139429415,4.512074353709377,8.23256166534416
1982,PAST SALE,,Townhouse,1532 Windemere Ave,Baltimore,MD,21218,185000,,1.0,,1200.0,3150.0,1938.0,,154.0,,,,,https://www.redfin.com/MD/Baltimore/1532-Windemere-Ave-21218/home/10822055,,,N,Y,39.3303223,-76.5927415,1.858297125441689,1.344656135207847,1.0385326856168176,1.558063058822036
1983,PAST SALE,,Townhouse,3221 Leverton Ave,Baltimore,MD,21224,319900,,2.0,,1170.0,933.0,1920.0,,273.0,,,,,https://www.redfin.com/MD/Baltimore/3221-Leverton-Ave-21224/home/11077787,,,N,Y,39.291718,-76.5705079,1.7822423257255013,2.6346961888527347,0.9508238599484518,2.6346961888527347
1984,PAST SALE,,Townhouse,3923 Cedardale Rd,Baltimore,MD,21215,142000,,1.0,,1178.0,1774.0,1955.0,,121.0,,,,,https://www.redfin.com/MD/Baltimore/3923-Cedardale-Rd-21215/home/10906390,,,N,Y,39.3325371,-76.6705422,2.2684599121750044,3.114583713771949,2.3429438452108067,3.4416445480388065
1985,PAST SALE,,Townhouse,302 S East Ave,Baltimore,MD,21224,309000,,3.5,,1818.0,1012.0,1906.0,,170.0,,,,,https://www.redfin.com/MD/Baltimore/302-S-East-Ave-21224/home/10741656,,,N,Y,39.2883109,-76.5718624,1.7818064254291943,2.3993271901857898,0.8422024110007527,2.3993271901857898
1986,PAST SALE,,Townhouse,1321 Cooksie St,Baltimore,MD,21230,342000,3.0,2.5,,1263.0,680.0,1919.0,,271.0,,,,,https://www.redfin.com/MD/Baltimore/1321-Cooksie-St-21230/home/11024802,,,N,Y,39.2707792,-76.5917267,2.502771999872989,1.436650418726121,1.3476722282911497,1.436650418726121
1987,PAST SALE,April-22-2022,Single Family Residential,7028 Bellona Ave,Baltimore,MD,21212,519000,3.0,2.5,WOODBROOK,2491.0,10947.0,1950.0,,208.0,,Sold,,,https://www.redfin.com/MD/Baltimore/7028-Bellona-Ave-21212/home/9672495,BRIGHT MLS,MDBC2010594,N,Y,39.3815835,-76.6263616,1.1559658845884222,1.5601441295134408,2.8836647152998904,2.766961281522555
1988,PAST SALE,,Townhouse,304 E 31st St,Baltimore,MD,21218,280000,,2.0,,1630.0,2385.0,1918.0,,172.0,,,,,https://www.redfin.com/MD/Baltimore/304-E-31st-St-21218/home/10855098,,,N,Y,39.3261636,-76.6127156,0.40610803009752733,0.2893840525312926,0.07994118893575268,1.2408805732189256
